 written on 22Nov2021 at 17:14:40 
          14
          21
    4    2    4    4    2    4    4    2    4    2    1    2    4    2    4
    4    2    4    4    2    4
   -1   -1   -1   14    9    0.000781   -0.000000
   -1   -1   -1    1   10   -0.016150   -0.000000
   -1   -1   -1    2   10    0.042522   -0.000000
   -1   -1   -1    3   10   -0.036208    0.000000
   -1   -1   -1    4   10    0.111714    0.000001
   -1   -1   -1    5   10   -0.019798    0.000004
   -1   -1   -1    6   10    0.000001    0.000001
   -1   -1   -1    7   10    0.019799   -0.000002
   -1   -1   -1    8   10   -0.000001   -0.000003
   -1   -1   -1    9   10    0.015558   -0.000000
   -1   -1   -1   10   10   -0.002067   -0.000000
   -1   -1   -1   11   10    0.016326   -0.000000
   -1   -1   -1   12   10    0.000001   -0.000000
   -1   -1   -1   13   10   -0.024344   -0.000000
   -1   -1   -1   14   10   -0.000000    0.000000
   -1   -1   -1    1   11   -0.138148    0.000000
   -1   -1   -1    2   11   -0.025519    0.000000
   -1   -1   -1    3   11    0.016047    0.000000
   -1   -1   -1    4   11    0.083501    0.000001
   -1   -1   -1    5   11   -0.011507   -0.000001
   -1   -1   -1    6   11   -0.000613    0.000009
   -1   -1   -1    7   11   -0.011501    0.000004
   -1   -1   -1    8   11    0.022750   -0.000000
   -1   -1   -1    9   11   -0.006893    0.000000
   -1   -1   -1   10   11    0.016326    0.000000
   -1   -1   -1   11   11    0.018262   -0.000000
   -1   -1   -1   12   11   -0.000982    0.000000
   -1   -1   -1   13   11   -0.000000    0.000000
   -1   -1   -1   14   11   -0.024261   -0.000000
   -1   -1   -1    1   12    0.055916    0.000000
   -1   -1   -1    2   12    0.050816   -0.000000
   -1   -1   -1    3   12   -0.043402   -0.000000
   -1   -1   -1    4   12    0.050818   -0.000000
   -1   -1   -1    5   12   -0.015680    0.000008
   -1   -1   -1    6   12    0.243512   -0.000002
   -1   -1   -1    7   12    0.030385    0.000005
   -1   -1   -1    8   12   -0.021000    0.000002
   -1   -1   -1    9   12    0.067160   -0.000000
   -1   -1   -1   10   12    0.000001    0.000000
   -1   -1   -1   11   12   -0.000982   -0.000000
   -1   -1   -1   12   12   -0.065563   -0.000000
   -1   -1   -1   13   12   -0.015558   -0.000000
   -1   -1   -1   14   12    0.006893   -0.000000
   -1   -1   -1    1   13    0.000001    0.000000
   -1   -1   -1    2   13   -0.122440   -0.000000
   -1   -1   -1    3   13   -0.000001    0.000000
   -1   -1   -1    4   13    0.122455   -0.000000
   -1   -1   -1    5   13   -0.111714   -0.000001
   -1   -1   -1    6   13    0.036208   -0.000000
   -1   -1   -1    7   13   -0.042522   -0.000000
   -1   -1   -1    8   13    0.016150    0.000000
   -1   -1   -1    9   13   -0.000000    0.000000
   -1   -1   -1   10   13   -0.024344    0.000000
   -1   -1   -1   11   13   -0.000000   -0.000000
   -1   -1   -1   12   13   -0.015558    0.000000
   -1   -1   -1   13   13   -0.002067   -0.000000
